ItemCode,ItemName,Warehouse,BinCode,QtyInBin,TotalOnHand,InvntryUom,FrozenFor
01279803-HTZ,GASK.S.CRNKC.D30-50,01,01-03H02,1.0,1.0,UN,N
01279803-HTZ,GASK.S.CRNKC.D30-50,01,01-SYSTEM-BIN-LOCATION,0.0,1.0,UN,N
01284501-HTZ,GASKET EXHAUST MAN. 2M40L,01,01-03C40,0.0,0.0,UN,N
01285010-HTZ,ROCKER EXHAUST ID20,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01285800-HTZ,GASK.EXHAUST SIL.,01,01-03E40,3.0,3.0,UN,N
01285901-HTZ,GASKET EXHAUST SILENCER,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01286000-HTZ,EXH. GASKET,01,01-03C44,0.0,0.0,UN,N
01286100-HTZ,GASKET EXHAUST SIL.,01,01-03I30,1.0,1.0,UN,N
01287900-HTZ,GASKET AIR FILTER,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01290920-HTZ,ROCKER SHAFT ID20,01,01-03F60,0.0,0.0,UN,N
01292911-HTZ,MAINT KIT,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
013-00602-80-SUB,BOLT & WASHER AY,01,01-02B70,1.0,1.0,UN,N
013-00699-40-SUB,BOLT,01,01-02B70,3.0,3.0,UN,N
013-00800-71-SUB,BOLT & WASHER,01,01-02D26,8.0,8.0,UN,N
01308101-HTZ,BREATHER VALVE,01,01-03H58,0.0,0.0,UN,N
01308301-HTZ,CLOSING PLUG,01,01-03I52,0.0,0.0,UN,N
013-10500-30-SUB,SCREW & WASHER,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01310501-HTZ,Bar Spring Cpl,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01312410-HTZ,PISTON 90 EPA,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01312420-HTZ,PISTON 90 EPA2,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01312501-HTZ,PISTON RING SET 90,01,01-03I54,1.0,1.0,UN,N
01313542-HTZ,PISTON 100 EPA4,01,01-03F62,0.0,0.0,UN,N
01313620-HTZ,FUEL PRES PIPE EPA2,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01314621-HTZ,PISTON 100 + 0.5 EPA,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01314642-HTZ,"PISTON 100 +0,5EPA4",01,01-03D70,0.0,0.0,UN,N
01315210-HTZ,PISTON 90 + .5,01,01-03G06,1.0,1.0,UN,N
01315220-HTZ,PISTON 90+0.5EPA2,01,01-03E12,0.0,0.0,UN,N
01315320-HTZ,PISTON 90+1.0 EPA,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01315401-HTZ,PISTON RING SET 90+ .5,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01315501-HTZ,PISTON RING SET 90+1.0,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01316000-HTZ,DIPSTICK 1B20,01,01-03E56,1.0,1.0,UN,N
01317000-HTZ,BREATHER VALVE,01,01-03I50,1.0,1.0,UN,N
01317510-HTZ,CYLINDER HEAD,01,01-SYSTEM-BIN-LOCATION,0.0,0.0,UN,N
01318300-HTZ,LUB.OIL FILT HOUSING,01,01-03G02,0.0,0.0,UN,N
01320900-HTZ,"SAE-B (J609) 5.75"" outside diameter pilot; 6.5"" bolt circle",01,01-03C26,0.0,0.0,UN,N
